番号,型番,品名,図面番号,個数,メーカー,調達先,備考,SW-ﾌｧｲﾙ名(File Name)
1,WP5-12,鉛蓄電池,,2,LONG,秋月電子,密閉式12V5Ah,Battery12V5Ah
2,CPUB-AM-T2-A30-B97-L182-F162-H8-N5,iCartMini_BatteryBottomBracket,20241005-7,1,MISUMI,MISUMI,ｶﾊﾞｰﾌﾟﾚｰﾄｰU曲げﾀｲﾌﾟｰ,iCartMini_BatteryBottomBracket
3,FALA-AM-T2.0-A100-B24-L20-H95-M5-S14-NA5,iCartMini_BatterySideBracket,20241005-8,4,MISUMI,MISUMI,L曲げﾌﾞﾗｹｯﾄｰ汎用ﾀｲﾌﾟｰ,iCartMini_BatterySideBracket
4,FBMAL-AS-T3-A20-B40-L60-F40-H10-N5-V49.5-S34.8-NA5,iCartMini_MotorBracket,20241005-5,4,MISUMI,MISUMI,L型ﾌﾞﾗｹｯﾄｰｱﾙﾐｱﾝｸﾞﾙ押出材ﾀｲﾌﾟ-,iCartMini_MotorBracket
5,JTAB-AM-A75-B100-T1.5-X6-G88-N5-L21-V48-W92-NA3,iCartMini_MotorDriverBracket,20241005-6,1,MISUMI,MISUMI,平板ﾌﾞﾗｹｯﾄｰ汎用ﾀｲﾌﾟｰ,iCartMini_MotorDriverBracket
6,JTAB-AM-A65-B68-T1.5-X6-G56-N5-L24-V37-W58-NA3,iCartMini_PowerSupplyBoardBracket,20241005-9,1,MISUMI,MISUMI,平板ﾌﾞﾗｹｯﾄｰ汎用ﾀｲﾌﾟｰ,iCartMini_PowerSupplyBoardBracket
7,RSSC-SU-D12-L101-M5-MA5-KC0-A70,iCartMini_Shaft,20241005-2,2,MISUMI,MISUMI,回転軸-ｽﾄﾚｰﾄ-,iCartMini_Shaft
8,SNAA-AM-A60-B40-T2-E10-W20-N5-L30-G10-D12,iCartMini_SwitchBracket,20241005-10,1,MISUMI,MISUMI,平板ﾌﾞﾗｹｯﾄ-ねじ型ｾﾝｻ取付ﾀｲﾌﾟｰ,iCartMini_SwitchBracket
9,NPLB-PC-T4-A310-B225-J230-G195-FA5-WRC20,iCartMini_UpperPlate,20241005-1,1,MISUMI,MISUMI,樹脂ﾌﾟﾚｰﾄ-ｸﾘｱ材系･断熱材系-,iCartMini_UpperPlate
10,BCBA-AM-H36-T3-D22-S6-V12-Q0-N0,iCartMini_WheelCap,20241005-4,2,MISUMI,MISUMI,汎用ﾎﾙﾀﾞ,iCartMini_WheelCap
11,SHTE-AM-H36-L16-D22-T5-P12-E6-G22-Q29-N3-MA0,iCartMini_WheelHub,20241004-3,2,MISUMI,MISUMI,ｼｬﾌﾄ/支柱ﾎﾙﾀﾞ-ｲﾝﾛｰﾀｲﾌﾟ-/ｽｸﾘｭｰﾎﾙﾀﾞ,iCartMini_WheelHub
12,HFS5-2020-310-LCH-RWH-AH50-BH90-CH215,アルミフレーム,,2,MISUMI,MISUMI,L=310複数レンチ穴追加工,NFS5-2020
13,NFS5-2060-210-TPW,アルミフレーム,,1,MISUMI,MISUMI,L210両端タップ,NFS5-2060
14,NFS5-2040-210-TPW,アルミフレーム,,1,MISUMI,MISUMI,L210両端タップ,NFS5-2040
15,NFS5-2020-210-TPW,アルミフレーム,,2,MISUMI,MISUMI,L210両端タップ,NFS5-2020
16,HNTT5-5,アルミフレーム用先入れナット,,23,MISUMI,MISUMI,5シリーズ(溝幅6mm)）用_M5,HNTT5-5
17,HCJ5,ブラインドジョイント,,12,MISUMI,MISUMI,5シリーズ_スクリュージョイント,HCJ5
18,SFBJ5-8,十字穴付皿ネジ,,4,MISUMI,MISUMI,M5-8,FlatHeadScrew
19,KEG4-45,平行キー,,2,MISUMI,MISUMI,L45片端丸型,MachineKey
20,CBE5-8,六角穴付ボルト,,23,MISUMI,MISUMI,M5-8_三価ホワイト,HexagonSocketScrew
21,CBE5-10,六角穴付ボルト,,4,MISUMI,MISUMI,M5-10_三価ホワイト,HexagonSocketScrew
22,SAJ-TS6-100VPA K,緩衝スプリングキャスターV TS6シリーズ,,1,SISIKU,MISUMI,車輪径100mm許容荷重(daN)68,SAJ-TS6-100
23,CSPPNSB-SUS-TP3-16,十字穴付ナベタッピンねじ,,8,SUNCO,MISUMI,M3-16,TappingScrew
24,WSX-ST3W-M5X15-2,平ワッシャー,,13,SUNCO,MISUMI,,Washer
25,CB-IBP-1-5A,サーキットプロテクタ,,1,アムトランス,千石電商,遮断電流5A,CB-IBP-1-5A
26,KY60094,ソフトキャスター,,2,カワムラサイクル,車いす専門店まるこ,6インチエアレスタイヤのみ,KY60094
27,TF-C-MDPW-S,i-Cart miniケーブルセット,,1,ツジ電子,ツジ電子,,iCartMini_PowerSupplyWireSet
28,TF-M30-24-3500-G15R,ブラシレスモータ,,1,ツジ電子,ツジ電子,右ギアヘッド15:1,TF-M30-24-3500-G15R
29,TF-M30-24-3500-G15L,ブラシレスモータ,,1,ツジ電子,ツジ電子,左ギアヘッド15:1,TF-M30-24-3500-G15L
30,TF-PW36-5/12M,電源基板,,1,ツジ電子,ツジ電子,15-36V入力_12V5V出力,TF-PW36-5_12M
31,TF-2MD3-R6,二軸モータドライバ,,1,ツジ電子,ツジ電子,,TF-2MD3-R6
32,,平行キー,,2,ツジ電子,ツジ電子,L25片端丸型モータ付属品,MachineKey
33,,六角ナット,,4,ツジ電子,ツジ電子,M5_モータ付属品,Nut
34,,六角穴付ボルト,,4,ツジ電子,ツジ電子,M5-60_モータ付属品,HexagonSocketScrew
